Party;Votes;Year;Weights;Country
Social Democratic Party of Austria;26.82;2013;-0.5;AT
Austrian People's Party;23.99;2013;0.5;AT
Freedom Party of Austria;20.51;2013;2;AT
The Greens – The Green Alternative;12.42;2013;-0.5;AT
Team Stronach;5.73;2013;1.2;AT
NEOS – The New Austria;4.96;2013;0;AT
Alliance for the Future of Austria;3.53;2013;1.2;AT
Communist Party of Austria;1.03;2013;-1;AT
Austrian People's Party (ÖVP);31.5;2017;0.5;AT
Social Democratic Party of Austria (SPÖ);26.9;2017;-0.5;AT
Freedom Party of Austria (FPÖ);26;2017;2;AT
NEOS – The New Austria (NEOS);5.3;2017;0;AT
Peter Pilz List (PILZ);4.4;2017;-2;AT
The Greens – The Green Alternative (GRÜNE);3.8;2017;-0.5;AT
My Vote Counts! (G!LT);1;2017;NA;AT
Communist Party of Austria Plus (KPÖ+);0.8;2017;-1;AT
