"","Year","Party","Votes","Weights","Country","Index"
"1",1990,"SP.",42.78,-1,"AT",-0.4278
"2",1994,"SP.",34.92,-1,"AT",-0.3492
"3",1995,"SP.",38.06,-1,"AT",-0.3806
"4",1999,"SP.",33.15,-1,"AT",-0.3315
"5",2002,"SP.",36.51,-1,"AT",-0.3651
"6",2006,"SP.",35.34,-1,"AT",-0.3534
"7",2008,"SP.",29.26,-1,"AT",-0.2926
"8",1990,"X.VP",32.06,1,"AT",0.3206
"9",1994,"X.VP",27.67,1,"AT",0.2767
"10",1995,"X.VP",28.29,1,"AT",0.2829
"11",1999,"X.VP",26.91,1,"AT",0.2691
"12",2002,"X.VP",42.3,1,"AT",0.423
"13",2006,"X.VP",34.33,1,"AT",0.3433
"14",2008,"X.VP",25.98,1,"AT",0.2598
"15",1990,"FP.",16.63,2,"AT",0.3326
"16",1994,"FP.",22.5,2,"AT",0.45
"17",1995,"FP.",21.89,2,"AT",0.4378
"18",1999,"FP.",26.91,2,"AT",0.5382
"19",2002,"FP.",10.01,2,"AT",0.2002
"20",2006,"FP.",11.04,2,"AT",0.2208
"21",2008,"FP.",17.54,2,"AT",0.3508
"22",2006,"BZ.",4.11,2,"AT",0.0822
"23",2008,"BZ.",10.7,2,"AT",0.214
"24",1990,"GAL",4.78,-1,"AT",-0.0478
"25",1990,"KP.",0.55,-2,"AT",-0.011
"26",1994,"KP.",0.26,-2,"AT",-0.0052
"27",1995,"KP.",0.29,-2,"AT",-0.0058
"28",1999,"KP.",0.48,-2,"AT",-0.0096
"29",2002,"KP.",0.56,-2,"AT",-0.0112
"30",2006,"KP.",1.01,-2,"AT",-0.0202
"31",2008,"KP.",0.76,-2,"AT",-0.0152
"32",1994,"NEIN",0.9,1,"AT",0.009
"33",1995,"NEIN",1.1,1,"AT",0.011
"34",1999,"NEIN",0.42,1,"AT",0.0042
"35",1990,"VG.",1.83,-1,"AT",-0.0183
"36",1994,"VG.",0.12,-1,"AT",-0.0012
"37",2008,"FRITZ",1.76,1,"AT",0.0176
"38",2008,"DC",0.64,1,"AT",0.0064
"39",2008,"RETT.",0.73,2,"AT",0.0146
"40",2013,"Social Democratic Party of Austria",26.82,-0.5,"AT",-0.1341
"41",2013,"Austrian People's Party",23.99,0.5,"AT",0.11995
"42",2013,"Freedom Party of Austria",20.51,2,"AT",0.4102
"43",2013,"The Greens – The Green Alternative",12.42,-0.5,"AT",-0.0621
"44",2013,"Team Stronach",5.73,1.2,"AT",0.06876
"45",2013,"Alliance for the Future of Austria",3.53,1.2,"AT",0.04236
"46",2013,"Communist Party of Austria",1.03,-1,"AT",-0.0103
"47",2017,"Austrian People's Party (ÖVP)",31.5,0.5,"AT",0.1575
"48",2017,"Social Democratic Party of Austria (SPÖ)",26.9,-0.5,"AT",-0.1345
"49",2017,"Freedom Party of Austria (FPÖ)",26,2,"AT",0.52
"50",2017,"Peter Pilz List (PILZ)",4.4,-2,"AT",-0.088
"51",2017,"The Greens – The Green Alternative (GRÜNE)",3.8,-0.5,"AT",-0.019
"52",2017,"Communist Party of Austria Plus (KPÖ+)",0.8,-1,"AT",-0.008
"53",1992,"PDS - Democratic Party of the Left (Partito Democratico della Sinistra)",16.1,-1,"IT",-0.161
"54",1992,"PSI - Socialist Unity Party (Partito Socialista Italiano)",13.62,-1,"IT",-0.1362
"55",1992,"LEGA LOMBARDA - Northern (Lombardy) League (Lega Nord per l'Indipendenza della Padania)",8.65,2,"IT",0.173
"56",1992,"RIF.COM. - Communist Refoundation Party (Partito della Rifondazione Comunista)",5.61,-2,"IT",-0.1122
"57",1992,"PRI - Republican Party (Partito Repubblicano Italiano)",4.39,-0.5,"IT",-0.02195
"58",1994,"FI - 'Forward Italy' (Forza Italia)",21.01,1,"IT",0.2101
"59",1994,"PDS - Democratic Party of the Left (Partito Democratico della Sinistra)",20.36,-1,"IT",-0.2036
"60",1994,"AN - National Alliance (Alleanza Nazionale)",13.47,1,"IT",0.1347
"61",1994,"LN - North League (Lega Nord)",8.36,2,"IT",0.1672
"62",1994,"PRC - Communist Refoundation Party (Partito della Rifondazione Comunista)",6.05,-2,"IT",-0.121
"63",1994,"Pannella List (Lista Pannella)",3.51,-1.5,"IT",-0.05265
"64",1996,"POLO - Pole of Freedoms (Polo delle Libertà)",40.29,0.5,"IT",0.20145
"65",1996,"L'ULIVO - Olive Tree (L'Ulivo)",38.74,-0.5,"IT",-0.1937
"66",1996,"LN - Northern League (Lega Nord)",10.83,2,"IT",0.2166
"67",2001,"CDL - House of Freedoms (Casa delle Libertà)",45.4,0.5,"IT",0.227
"68",2001,"L'ULIVO - Olive Tree (L'Ulivo)",42.99,-0.5,"IT",-0.21495
"69",2001,"DE - European Democracy (Democrazia Europea)",3.52,-1,"IT",-0.0352
"70",2006,"L'ULIVO - Olive Tree (L'Ulivo)",31.27,-0.5,"IT",-0.15635
"71",2006,"FI - 'Forward Italy' (Forza Italia)",23.72,1,"IT",0.2372
"72",2006,"AN - National Alliance (Alleanza Nazionale)",12.34,1,"IT",0.1234
"73",2006,"PRC - Communist Refoundation Party (Partito della Rifondazione Comunista, RIF.COM.)",5.84,-2,"IT",-0.1168
"74",2006,"LN - Northern League (Lega Nord)",4.58,2,"IT",0.0916
"75",2008,"PdL",37.39,1,"IT",0.3739
"76",2008,"PD",33.17,-1,"IT",-0.3317
"77",2008,"LN",8.3,2,"IT",0.166
"78",2008,"SA",3.08,-1.5,"IT",-0.0462
"79",2013,"PD",25.38,-1,"IT",-0.2538
