Parties;Votes ;weight;Year;country
PS;29.35;-1;2012;FR
DVG;3.4;-1;2012;FR
EELV;5.46;-1;2012;FR
PRG;1.65;-2;2012;FR
UMP;27.12;0.5;2012;FR
DVD;3.51;1;2012;FR
NC;2.2;0.5;2012;FR
PRV;1.24;2;2012;FR
AC;0.6;0;2012;FR
FDG;6.91;-2;2012;FR
FN;13.6;2;2012;FR
MoDem;1.77;0;2012;FR
REG;0.56;0.5;2012;FR
EXD;0.19;2;2012;FR
EXG;0.98;-2;2012;FR
ECO;0.96;NA;2012;FR
AUT;0.52;NA;2012;FR
REM;28.21;0;2017;FR
MoDem;4.12;0;2017;FR
LR;15.77;1;2017;FR
UDI;3.03;1;2017;FR
DVD;2.76;1;2017;FR
PS;7.44;-1;2017;FR
DVG;1.6;-1;2017;FR
PRG;0.47;-2;2017;FR
FI;11.03;-2;2017;FR
PCF;2.72;-2;2017;FR
FN;13.2;2;2017;FR
REG;0.9;0.5;2017;FR
DIV;2.21;NA;2017;FR
ECO;4.3;NA;2017;FR
DLF;1.17;-0.5;2017;FR
EXD;0.3;2;2017;FR
EXG;0.77;-2;2017;FR
