Party;Votes;Weigths;Year;Country
Christian Democratic Union (CDU)[a];37.2;0.5;2013;DE
Social Democratic Party (SPD);29.4;-0.5;2013;DE
The Left (DIE LINKE);8.2;-1.5;2013;DE
Alliance 90/The Greens (GRÜNE);7.3;0;2013;DE
Christian Social Union in Bavaria (CSU)[a];8.1;1;2013;DE
Free Democratic Party (FDP);2.4;0.5;2013;DE
Alternative for Germany (AfD);1.9;1.7;2013;DE
Pirate Party (PIRATEN);2.2;0;2013;DE
National Democratic Party (NPD);1.5;2;2013;DE
Christian Democratic Union(CDU)[c];30.2;0.5;2017;DE
Social Democratic Party(SPD);24.6;-0.5;2017;DE
Alternative for Germany(AfD)[d];11.5;1.5;2017;DE
Free Democratic Party(FDP);7;0.5;2017;DE
The Left (DIE LINKE);8.6;-1.5;2017;DE
Alliance 90/The Greens(GRÜNE);8;0;2017;DE
Christian Social Union in Bavaria (CSU)[c];7;1;2017;DE
Free Voters;1.3;NA;2017;DE
Die PARTEI;0.5;-2;2017;DE
Human Environment Animal Protection;0;NA;2017;DE
National Democratic Party;0.1;2;2017;DE
