Party;Votes;Weights;Year;Country
Fidesz – Hungarian Civic Union(Fidesz);44.87;1.7;2014;HU
Hungarian Socialist Party(MSZP);25.57;-0.5;2014;HU
Movement for a Better Hungary (Jobbik);20.22;2;2014;HU
Politics Can Be Different (LMP);5.34;0;2014;HU
Hungarian Workers' Party (Munkáspárt);0.56;-2;2014;HU
The Homeland Not For Sale Movement Party(HNEM);0.47;1.5;2014;HU
Fidesz – Christian Democratic People's Party;49.27;1.7;2018;HU
Jobbik – Movement for a Better Hungary;19.06;2;2018;HU
Hungarian Socialist Party– Dialogue for Hungary;11.91;-0.5;2018;HU
Politics Can Be Different;7.06;0;2018;HU
Democratic Coalition;5.37;-0.5;2018;HU
Momentum Movement;3.06;0.7;2018;HU
Hungarian Two-tailed Dog Party;1.73;-1;2018;HU
Together;0.66;-1;2018;HU
National Self-Government of Germans in Hungary;0.46;0.5;2018;HU
Hungarian Workers' Party;0.27;-2;2018;HU
Hungarian Justice and Life Party;0.15;1;2018;HU
