Party/List;Votes N;Votes %;Seats N
FI - 'Forward Italy' (Forza Italia);10923431;29.43;62
DS - Democrats of the Left (Democratici di Sinistra);6151154;16.57;31
LA MARGHERITA;5391827;14.52;27
AN - National Alliance (Alleanza Nazionale);4463205;12.02;24
PRC - Communist Refoundation Party (Partito della Rifondazione Comunista - RIF.COM.);1868659;5.03;11
LN - Northern League (Lega Nord);1464301;3.94;-
LISTA DI PIETRO - Pietro List;1443725;3.89;-
CCD-CDU - Christian Democratic Centre-Christian Democracy;1194040;3.22;-
DE - European Democracy (Democrazia Europea);888249;2.39;-
PANNELLA-BONINO - List Pannella-Bonino;832213;2.24;-
IL GIRASOLE;805340;2.17;-
COMUNISTI ITALIANI;620859;1.67;-
NUOVO PSI;353269;0.95;-
SVP - South Tyrolean People's Party (SŸdtiroler Volkspartei);200059;0.54;-
MS-FT - Tricolour Flame Social Movement (Movimento Sociale Fiamma Tricolore);143963;0.39;-
LIGA FRONTE VENETO;74353;0.2;-
PART.PENS.;68349;0.18;-
PS D'AZ-SARD.NATZ.;34412;0.09;-
PAESE NUOVO;34193;0.09;-
ABOLIZIONE SCORPORO;26917;0.07;-
LEGA D'AZIONE MERID.;23779;0.06;-
FRONTE NAZIONALE;22985;0.06;-
VERDI-VERDI;18262;0.05;-
FORZA NUOVA;13622;0.04;-
LISTA AMADU;11517;0.03;-
REPUBBLICANI EUROPEI;7997;0.02;-
NOI SICILIANI;7637;0.02;-
MOV. LIBERTA';6754;0.02;-
LIBERI E FORTI;6722;0.02;-
SOCIAL.AUTON.;6492;0.02;-
LIBDEM.BASTA;6332;0.02;-
COMUNISMO;5244;0.01;-
TERZO POLO AUTONOMIA;2915;0.01;-
Electorate;49256295;100;-
Votes;40085397;81.38;-
Valid votes;37122776;75.37;-
Invalid votes;2962621;6.01;-
Total;-;-;155
