NUTS_CODE,NUTS_BN_CODE
AT,1802
AT,1805
AT,1817
AT,1822
AT,1830
AT,1833
AT,1836
AT,1838
AT,1840
AT,1843
AT,1844
AT,1868
AT,1879
AT,1893
AT,1908
AT,1912
AT,1926
AT,1929
AT,1930
AT,1931
AT,1946
AT,1978
AT,1995
AT,2005
AT,2025
AT,2029
AT,2042
AT,2044
AT,2052
AT,2054
AT,2055
AT,2056
AT,2059
AT,2060
AT,2080
AT,2094
AT,2108
AT,2112
AT,2113
AT,2124
AT,2125
AT,2191
AT,2202
AT,2206
AT,2241
AT,2248
AT,2271
AT,2279
AT,2305
AT,2340
AT,2371
AT,2376
AT,2386
AT,2387
AT,2404
AT,2429
AT,2445
AT,2446
AT,2479
AT,2494
AT,2518
AT1,1879
AT1,1995
AT1,2013
AT1,2029
AT1,2068
AT1,2108
AT1,2137
AT1,2147
AT1,2148
AT1,2206
AT1,2235
AT1,2248
AT1,2271
AT1,2289
AT1,2323
AT1,2340
AT1,2371
AT1,2381
AT1,2404
AT1,2479
AT1,2494
AT1,2518
AT11,1879
AT11,1995
AT11,2013
AT11,2029
AT11,2032
AT11,2101
AT11,2108
AT11,2171
AT11,2206
AT11,2247
AT11,2248
AT111,2029
AT111,2033
AT111,2101
AT111,2107
AT111,2108
AT112,2171
AT112,2206
AT112,2247
AT112,2248
AT112,2107
AT113,1879
AT113,1995
AT113,2013
AT113,2032
AT113,2033
AT12,2068
AT12,2137
AT12,2147
AT12,2148
AT12,2235
AT12,2267
AT12,2271
AT12,2289
AT12,2310
AT12,2323
AT12,2340
AT12,2371
AT12,2381
AT12,2404
AT12,2479
AT12,2494
AT12,2518
AT12,2032
AT12,2101
AT12,2171
AT12,2247
AT121,2137
AT121,2147
AT121,2173
AT121,2235
AT121,2289
AT121,2311
AT121,2323
AT121,2324
AT122,2068
AT122,2148
AT122,2226
AT122,2227
AT122,2101
AT122,2171
AT122,2032
AT122,2173
AT123,2257
AT123,2326
AT123,2327
AT123,2311
AT123,2226
AT124,2357
AT124,2381
AT124,2478
AT124,2494
AT124,2518
AT124,2324
AT124,2326
AT125,2371
AT125,2388
AT125,2404
AT125,2479
AT125,2478
AT126,2266
AT126,2270
AT126,2310
AT126,2340
AT126,2327
AT126,2357
AT126,2388
AT127,2267
AT127,2271
AT127,2247
AT127,2227
AT127,2257
AT127,2266
AT127,2270
AT13,2267
AT13,2310
AT130,2310
AT130,2267
AT2,1802
AT2,1805
AT2,1817
AT2,1822
AT2,1830
AT2,1833
AT2,1836
AT2,1838
AT2,1843
AT2,1844
AT2,1868
AT2,1933
AT2,1937
