Party;Votes;Year;Weights;Country;
Conservative Party;0.368;2015;0.7;UK;
Labour Party;0.304;2015;-0.7;UK;
Scottish National Party;0.047;2015;-0.5;UK;
Liberal Democrats;0.079;2015;-0.5;UK;
Democratic Unionist Party;0.006;2015;2;UK;
Sinn Féin;0.006;2015;-1.5;UK;
Plaid Cymru;0.006;2015;-1;UK;
Social Democratic & Labour Party;0.003;2015;-0.5;UK;
Ulster Unionist Party;0.004;2015;0.5;UK;
UK Independence Party;0.126;2015;2;UK;
Conservative;0.42;2017;0.70;UK;
Labour;0.40;2017;-0.70;UK;
Liberal Democrat;0.07;2017;-0.50;UK;
Scottish National;0.03;2017;-0.50;UK;
UK Independence;0.02;2017;2.00;UK;
Green;0.02;2017;0.00;UK;
Democratic Unionist;0.01;2017;-0.50;UK;
Sinn Féin;0.01;2017;-1.50;UK;
Plaid Cymru;0.01;2017;-1.00;UK;
Others;0.02;2017;NA;UK;
;;;;;
