Party/List;Votes N;Votes %;Change since 1987;Seats N;Seats %;Seats N change
DC - Christian Democratic Party (Democrazia Cristiana);11637569;29.65;-4.66;206;32.7;-28
PDS - Democratic Party of the Left (Partito Democratico della Sinistra);6317962;16.1;-10.48;107;16.98;-70
PSI - Socialist Unity Party (Partito Socialista Italiano);5343808;13.62;-0.64;92;14.6;-2
LEGA LOMBARDA - Northern (Lombardy) League (Lega Nord per l'Indipendenza della Padania);3395384;8.65;8.17;55;8.73;54
RIF.COM. - Communist Refoundation Party (Partito della Rifondazione Comunista);2201428;5.61;-;35;5.56;-
MSI-DN - Italian Social Movement - National Right (Movimento Sociale Italiano–Destra Nazionale);2107272;5.37;-0.54;34;5.4;-1
PRI - Republican Party (Partito Repubblicano Italiano);1723756;4.39;0.69;27;4.29;6
PLI - Liberal Party (Partito Liberale Italiano);1121854;2.86;0.76;17;2.7;6
FED.DEI VERDI - Federation of the Greens (Federazione dei Verdi);1093037;2.79;0.28;16;2.54;3
PSDI - Democratic Socialist Party (Partito Socialista Democratico);1066672;2.72;-0.24;16;2.54;-1
LA RETE-MOV.DEM. - Movement for Democracy (Movimento per la Democrazia – La Rete);730293;1.86;-;12;1.9;12
LISTA PANNELLA - Panella List;486344;1.24;-1.32;7;1.11;-6
LISTA REFERENDUM;320061;0.82;-;0;0;-
PART.PENS.;220509;0.56;-;0;0;-
ALTRE LEGHE;219958;0.56;-;0;0;-
SVP - South Tyrolean People's Party (Südtiroler Volkspartei);198431;0.51;-0.01;3;0.48;0
CPA;193228;0.49;-;0;0;0
FEDERALISMO-PENS.UV. - (Federalismo - Pensionati Uomini Vivi);154987;0.39;-;1;0.16;1
LEGA AUT.VENETA - Venetian Autonomy League (Lega Autonomia Veneta);152396;0.39;-;1;0.16;1
LA LEGA CAS-PENS.;134093;0.34;-;0;0;-
LISTE AUTONOMISTE;94504;0.24;-;0;0;-
LEGA D'AZIONE MERID.;53993;0.14;-;0;0;-
MOV.VEN.REG.AUT;49027;0.12;-;0;0;-
ALTRE LISTE;47949;0.12;-;0;0;-
VERDI FEDERALISTI;42884;0.11;-;0;0;-
L.VALLE D'AOSTA;41404;0.11;-;1;0.16;1
GRUPPO DOLCHI-FOSSON;30724;0.08;-;0;0;-
LEGA DELLE LEGHE;28008;0.07;-;0;0;-
ALTRE LISTE VERDI;25862;0.07;-;0;0;-
MOV.POL.DIF.AUTOMOB.;10109;0.03;-;0;0;-
Electorate;47435689;100;-;-;-;-
Votes;41404415;87.29;-;-;-;-
Valid votes;39243506;82.73;-;-;-;-
Invalid votes;2160909;4.56;-;-;-;-
Total;-;-;-;630;-;-
