Party/List;Votes N;Votes %;Seats, Proportional;Seats, Majority;Seats, Total
FI - 'Forward Italy' (Forza Italia);8136135;21.01;30;82;112
PDS - Democratic Party of the Left (Partito Democratico della Sinistra);7881646;20.36;38;76;114
AN - National Alliance (Alleanza Nazionale);5214133;13.47;23;86;109
PPI - Italian People's Party (Partito Popolare Italiano);4287172;11.07;29;4;33
LN - North League (Lega Nord);3235248;8.36;11;102;113
PRC - Communist Refoundation Party (Partito della Rifondazione Comunista);2343946;6.05;11;30;41
PS - Segni Pact (Patto Segni);1811814;4.68;13;0;13
Pannella List (Lista Pannella);1359283;3.51;0;5;5
Verdi - Federation of the Greens (Federazione dei Verdi);1047268;2.7;0;11;11
PSI - Italian Socialist Party (Partito Socialista Italiano);849429;2.19;0;15;15
LA RETE - Movement for Democracy Ð The Net (Movimento per la Democrazia Ð La Rete);719841;1.86;0;8;8
AD - Democratic Alliance (Alleanza Democratica);456114;1.18;0;18;18
SVP - South Tyrolean People's Party (SŸdtiroler Volkspartei);231842;0.6;0;-;0
SOCIALDEMOCRAZIA;179495;0.46;0;-;0
PROGRAMMA ITALIA;151425;0.39;0;-;0
LEGA ALPINA LUMBARDA;136782;0.35;0;-;0
LEGA AUT.VENETA;103764;0.27;0;-;0
LEGA D'AZIONE MERID.;59873;0.15;0;-;0
UN.POP.;36263;0.09;0;-;0
VERDI-VERDI;32832;0.08;0;-;0
SOLID.OCCUPAZ.SVILUP;32533;0.08;0;-;0
PART.LEGGE NATURALE;24897;0.06;0;-;0
PARTIDU INDIP.;24043;0.06;0;-;0
UNIONE DEM.ITALIANA;20099;0.05;0;-;0
UN.CRIST.RIF.;15763;0.04;0;6;6
PATTO SOLIDARIETA';15552;0.04;0;-;0
LG.ANGELA BOSSI;15234;0.04;0;-;0
LEGA PER IL PIEMONTE;15118;0.04;0;-;0
ALL.MERIDIONALE;13712;0.04;0;-;0
ADA;12898;0.03;0;-;0
ALL.POP.;12567;0.03;0;-;0
RIN.SALENTINA;11418;0.03;0;-;0
L'ARCA;11398;0.03;0;-;0
INIZIATIVA POP.DEM.;11342;0.03;0;-;0
MOV.CRIST.DEM.;10821;0.03;0;-;0
SOLID.PROGRESSO;10307;0.03;0;-;0
INSIEME PER SVILUPPO;10278;0.03;0;-;0
LISTA FRANCO GRECO;10212;0.03;0;-;0
RINASCITA SOCIALISTA;9898;0.03;0;-;0
DEM.E SOLIDARIETA';9533;0.02;0;-;0
UNIONE MEDITERRANEA;9060;0.02;0;-;0
MOV.MERIDIONALE;8640;0.02;0;-;0
DEMOCRAZIA SICILIANA;8398;0.02;0;-;0
MOV.CATTOLICO DEM.;8345;0.02;0;-;0
RIFORMISTI IRPINI;8227;0.02;0;-;0
P.DEM.;7678;0.02;0;-;0
UNIONE POP.;7586;0.02;0;-;0
ALL.MUNICIPALITA';7426;0.02;0;-;0
UTOPIA;6938;0.02;0;-;0
MOV.REP.;6680;0.02;0;-;0
MOV.CRIST.VERITAS;6269;0.02;0;-;0
RINNOVAMENTO;6047;0.02;0;-;0
RIN.DEMOCRATICO;5721;0.01;0;-;0
LIBERAL DEM.EUROPEI;4632;0.01;0;-;0
INSIEME PER CAMBIARE;4588;0.01;0;-;0
P.POP.PROGRESSISTA;4554;0.01;0;-;0
CENTRO DEMOCRATICO;4283;0.01;0;-;0
MEDITERRANEO;3949;0.01;0;-;0
MOV.LIBERALDEM.SOC.;3404;0.01;0;-;0
ALL.PROGRAMMA;3402;0.01;0;-;0
MOV.POP.CRIST.;3351;0.01;0;-;0
MOV.EUR.LIB.CRIST.;2886;0.01;0;-;0
AUTONOMIA SOCIALISTA;2720;0.01;0;-;0
IDEA CITTA';2676;0.01;0;-;0
CCD - Christian Democratic Centre;2646;0.01;0;27;27
ALL.PER I CASTELLI;2641;0.01;0;-;0
DEM.E RINNOVAMENTO;2368;0.01;0;-;0
Residual;-;-;-;5;5
Electorate;48135041;100;-;-;-
Votes;41461260;86.14;-;-;-
Valid votes;38717043;80.43;-;-;-
Invalid votes;2744217;5.7;-;-;-
Total;-;-;155;475;630
