Party/List;Votes N;Votes %;Seats N
POLO - Pole of Freedoms (Polo delle Libertˆ);15027030;40.29;169
L'ULIVO - Olive Tree (L'Ulivo);14447548;38.74;228
LN - Northern League (Lega Nord);4038239;10.83;39
ULIVO-LEGA AUT.VENETA;997534;2.67;14
PROGRESSISTI (1996) - Communist Refoundation Party (Partito della Rifondazione Comunista, PRC);982505;2.63;15
MS-FT - Tricolour Flame Social Movement (Movimento Sociale Fiamma Tricolore);624558;1.67;-
L'ULIVO-PS.D'AZ.;269047;0.72;4
SVP - South Tyrolean People's Party (SŸdtiroler Volkspartei);156708;0.42;3
LEGA D'AZIONE MERID.;82373;0.22;1
PANNELLA-SGARBI;69406;0.19;-
MANI PULITE;68443;0.18;-
ALTRE LISTE;64679;0.17;-
SOCIALISTA;44786;0.12;-
SARDIGNA NATZIONE;42246;0.11;-
POUR VALLEE D'AOSTE;37431;0.1;1
DEMOCRAZIA-LIBERTA';33326;0.09;1
RINNOVAMENTO;28988;0.08;-
PART.UMANISTA;27694;0.07;-
MOV.RIN.IT.;24074;0.06;-
UNION FUR SUD TIROL;23032;0.06;-
NOI SICILIANI-FNS;20102;0.05;-
PATTO PER L'AGRO;18836;0.05;-
RIF.COM.;17996;0.05;-
VERDI-VERDI;12905;0.03;-
AMBIENTALISTI;12299;0.03;-
FEDERALISTI LIBERALI;11563;0.03;-
VALLE D'AOSTA-ULIVO;11526;0.03;-
DEMOCRAZIA SOCIALE;9760;0.03;-
UNIONE NORD EST;9669;0.03;-
GR.INDIP.LIBERTA';8805;0.02;-
PART.LEGGE NATURALE;7708;0.02;-
MODERATI;6208;0.02;-
NUOVE ENERGIE;5627;0.02;-
NUOVA DEMOCRAZIA;5333;0.01;-
SVILUPPO-LEGALITA';5275;0.01;-
PER LE MARCHE;4317;0.01;-
RISORGIMENTO DEL SUD;4291;0.01;-
NORD LIBERO AUT.;4013;0.01;-
VIENUOVE;3904;0.01;-
STATO DEL FRIULI;3345;0.01;-
AL.SOLIDAL LIBERISTA;3219;0.01;-
INGEGNO E AUDACIA;2805;0.01;-
SOLIDARIETA' VENETA;2655;0.01;-
MOV.POLO SUD;2310;0.01;-
LG.IT.FEDERALISTA;2268;0.01;-
PATTO DONNE TRIESTE;2121;0.01;-
PART.FEDERAL.;1744;0;-
LG.NAZ.I.F.D.;1653;0;-
ALL.CEN.LS.RADAELLI;1531;0;-
ALPI AZZURRE;999;0;-
NI;675;0;-
Electorate;48846238;100;-
Votes;40496438;82.91;-
Valid votes;37295109;76.35;-
Invalid votes;3201329;6.55;-
Total;-;-;475
