Party/List;Votes N;Votes %;Seats N
PDS - Democratic Party of the Left (Partito Democratico della Sinistra);7894118;21.06;26
FI - 'Forward Italy' (Forza Italia);7712149;20.57;37
AN - National Alliance (Alleanza Nazionale);5870491;15.66;28
LN - Northern League (Lega Nord);3776354;10.07;20
PRC - Communist Refoundation Party (Partito della Rifondazione Comunista, RIF.COM.);3213748;8.57;20
POP-SVP-PRI-UD-PRODI - Prodi List;2554072;6.81;4
CCD-CDU - Christian Democratic Centre-Christian Democracy;2189563;5.84;12
RINNOVAMENTO IT-DINI - Dini List;1627380;4.34;8
VERDI - Federation of the Greens (Federazione dei Verdi);938665;2.5;-
PANNELLA-SGARBI - Pannella-Sgarbi List;702988;1.88;-
MS-TF - Tricolour Flame Social Movement (Movimento Sociale Fiamma Tricolore);339351;0.91;-
SOCIALISTA;149441;0.4;-
LEGA D'AZIONE MERID.;72062;0.19;-
UNIONE NORD EST;63934;0.17;-
UNION FUR SUD TIROL;55548;0.15;-
MANI PULITE;44935;0.12;-
NOI SICILIANI-FNS;41001;0.11;-
PS D'AZ.;38002;0.1;-
VERDI-VERDI;25788;0.07;-
SARDIGNA NATZIONE;23355;0.06;-
GR.INDIP.LIBERTA';17451;0.05;-
AMBIENTALISTI;15560;0.04;-
PART.UMANISTA;14601;0.04;-
RINNOVAMENTO;13677;0.04;-
PATTO PER L'AGRO;12297;0.03;-
DEMOCRAZIA SOCIALE;9319;0.02;-
MOV.RIN.IT.;8886;0.02;-
MOV.AUT.TOSCANO;8627;0.02;-
PART.LEGGE NATURALE;8298;0.02;-
NUOVA DEMOCRAZIA;8185;0.02;-
FEDERALISTI LIBERALI;6475;0.02;-
PER LE MARCHE;5545;0.01;-
NUOVE ENERGIE;5393;0.01;-
SVILUPPO-LEGALITA';5347;0.01;-
NORD LIBERO AUT.;4965;0.01;-
PART.FEDERAL.;3743;0.01;-
RISORGIMENTO DEL SUD;3084;0.01;-
Electorate;48744846;100;-
Votes;40401774;82.88;-
Valid votes;37484398;76.9;-
Invalid votes;2917376;5.98;-
Total;-;-;155
