Party/List;Votes N;Votes %;Seats N
CDL - House of Freedoms (Casa delle Libertˆ);16915513;45.4;282
L'ULIVO - Olive Tree (L'Ulivo);16019388;42.99;183
LISTA DI PIETRO - Pietro List;1487287;3.99;-
DE - European Democracy (Democrazia Europea);1310119;3.52;-
PANNELLA-BONINO - List Pannella-Bonino;457117;1.23;-
SVP-L'ULIVO;190556;0.51;5
SVP - South Tyrolean People's Party (SŸdtiroler Volkspartei);173735;0.47;3
LVR - Liga Fronte Veneto;173618;0.47;-
MS-FT - Tricolour Flame Social Movement (Movimento Sociale Fiamma Tricolore);121527;0.33;-
CON ILLY PER TRIESTE;78284;0.21;1
PS D'AZ-SARD.NATZ.;40692;0.11;-
LA BASSA IN PARLAM.;26151;0.07;-
VALLEE D'AOSTE;25577;0.07;1
SOCIALISTI AUTONOMI;24341;0.07;-
DEM.POP.VALLE AOSTA;20452;0.05;-
LEGA D'AZIONE MERID.;19366;0.05;-
BUONANNO;19046;0.05;-
FRONTE NAZIONALE;16202;0.04;-
FORZA IT-LG NORD;16049;0.04;-
REPUBBLICANI EUROPEI;15600;0.04;-
POPOLARI EUROPEI;13447;0.04;-
VERDI-VERDI;13220;0.04;-
LISTA AMADU;12233;0.03;-
NUOVO PSI;9663;0.03;-
MOV. LIBERTA';9006;0.02;-
VALLE CAMONICA;8257;0.02;-
LISTA DEL POPOLO;8091;0.02;-
COMUNISMO;6777;0.02;-
LISTA ALTERNATIVA;6612;0.02;-
FORZA NUOVA;6294;0.02;-
NOI SICILIANI;6121;0.02;-
AN (AOSTA);4464;0.01;-
TERZO POLO AUTONOMIA;3491;0.01;-
POP.ALTO MILANESE;1409;0;-
Electorate;49358947;100;-
Votes;40246874;81.54;-
Valid votes;37259705;75.49;-
Invalid votes;2987169;6.05;-
Total;-;-;475
