Party/List;Votes N;Votes %;Seats N
L'ULIVO - Olive Tree (L'Ulivo);11930983;31.27;220
FI - 'Forward Italy' (Forza Italia);9048976;23.72;137
AN - National Alliance (Alleanza Nazionale);4707126;12.34;71
UDC - Union of Christian and Centre Democrats (Unione dei Democratici Cristiani e di Centro);2580190;6.76;39
PRC - Communist Refoundation Party (Partito della Rifondazione Comunista, RIF.COM.);2229464;5.84;41
LN - Northern League (Lega Nord);1747730;4.58;26
RnP - 'Rose in the Fist' (Rosa nel Pugno);990694;2.6;18
PdCI - Party of Italian Communists (Partito dei Comunisti Italiani);884127;2.32;16
IdV - taly of Values (Italia dei Valori con DiPietro);877052;2.3;16
VERDI - Federation of the Greens (Federazione dei Verdi);784803;2.06;15
UDEUR - UDEUR Populars (Popolari UDEUR);534088;1.4;10
PP - Pensioners' Party (Partito Pensionati);333278;0.87;-
DEM.CRIST.-NUOVO PSI;285474;0.75;4
AS-M - Social Alternative (Alternativa Sociale con Alessandra Mussolini);255354;0.67;-
MS-TF - Tricolour Flame Social Movement (Movimento Sociale Fiamma Tricolore);230506;0.6;-
SVP - South Tyrolean People's Party (SŸdtiroler Volkspartei);182704;0.48;4
I SOCIALISTI;115066;0.3;-
PROGETTO NORDEST;92002;0.24;-
LISTA CONSUMATORI;73751;0.19;-
NO EURO;58746;0.15;-
ALL.LOMB.AUT.;44589;0.12;-
PENSIONATI UNITI;27550;0.07;-
LIGA FRONTE VENETO;21999;0.06;-
DIE FREIHEITLICHEN;17183;0.05;-
AMBIENTA-LISTA;17145;0.04;-
TERZO POLO;16174;0.04;-
P.LIBERALE ITALIANO;12265;0.03;-
SARDIGNA NATZIONE;11000;0.03;-
IRS;11648;0.03;-
S.O.S. ITALIA;6781;0.02;-
SOLIDARIETA';5814;0.02;-
DIMENS.NE CHRISTIANA;2489;0.01;-
PER IL SUD;5130;0.01;-
MOVIMENTO TRIVENETO;4518;0.01;-
MOV.DEM.SIC-NOI SIC.;5003;0.01;-
DESTRA NAZIONALE;1093;0;-
LEGA SUD;848;0;-
Electorate;46997601;100;-
Votes;39298497;83.62;-
Valid votes;38153343;81.18;-
Invalid votes;1145154;2.44;-
Total;-;-;617
