Of every 100 people in country how many born outside country;Code;Frequency;% of all;% of valid
0;0;181;0.5;0.5
1;1;1338;3.3;3.7
2;2;1646;4.1;4.5
3;3;1266;3.2;3.5
4;4;660;1.6;1.8
5;5;2755;6.9;7.5
6;6;442;1.1;1.2
7;7;523;1.3;1.4
8;8;848;2.1;2.3
9;9;192;0.5;0.5
10;10;5024;12.5;13.8
11;11;86;0.2;0.2
12;12;397;1;1.1
13;13;101;0.3;0.3
14;14;71;0.2;0.2
15;15;2528;6.3;6.9
16;16;46;0.1;0.1
17;17;112;0.3;0.3
18;18;141;0.4;0.4
19;19;20;0;0.1
20;20;4862;12.1;13.3
21;21;13;0;0
22;22;67;0.2;0.2
23;23;55;0.1;0.2
24;24;25;0.1;0.1
25;25;1815;4.5;5
26;26;26;0.1;0.1
27;27;37;0.1;0.1
28;28;37;0.1;0.1
29;29;12;0;0
30;30;3915;9.7;10.7
31;31;7;0;0
32;32;36;0.1;0.1
33;33;143;0.4;0.4
34;34;11;0;0
35;35;754;1.9;2.1
36;36;11;0;0
37;37;19;0;0.1
38;38;15;0;0
39;39;9;0;0
40;40;2226;5.5;6.1
41;41;5;0;0
42;42;12;0;0
43;43;4;0;0
44;44;11;0;0
45;45;242;0.6;0.7
46;46;5;0;0
47;47;8;0;0
48;48;16;0;0
49;49;10;0;0
50;50;2033;5.1;5.6
51;51;3;0;0
52;52;4;0;0
53;53;2;0;0
54;54;1;0;0
55;55;72;0.2;0.2
56;56;1;0;0
57;57;1;0;0
58;58;2;0;0
60;60;637;1.6;1.7
61;61;1;0;0
62;62;3;0;0
63;63;3;0;0
64;64;1;0;0
65;65;80;0.2;0.2
66;66;6;0;0
67;67;2;0;0
68;68;1;0;0
69;69;1;0;0
70;70;362;0.9;1
72;72;1;0;0
75;75;76;0.2;0.2
76;76;1;0;0
77;77;1;0;0
78;78;7;0;0
79;79;2;0;0
80;80;251;0.6;0.7
85;85;24;0.1;0.1
86;86;2;0;0
87;87;1;0;0
88;88;5;0;0
89;89;2;0;0
90;90;77;0.2;0.2
91;91;2;0;0
92;92;1;0;0
95;95;19;0;0.1
97;97;2;0;0
98;98;3;0;0
99;99;12;0;0
100;100;15;0;0
